CEG,lat_base,lon_base,lat_era5,lon_era5,cell_key
EOLCVPI033019-1-01,-8.695024493999938,-41.421798766999984,-8.75,-41.5,latm8p75_lonm41p50
EOLCVBA031424-2-01,-14.259564688999944,-42.55434451199994,-14.25,-42.5,latm14p25_lonm42p50
EOLCVRN030293-7-01,-5.279888220999965,-35.91194949299995,-5.25,-36.0,latm5p25_lonm36p00
EOLCVCE002801-0-01,-3.491425326999945,-38.93452124299995,-3.5,-39.0,latm3p50_lonm39p00
EOLCVBA031403-0-01,-14.319069061999926,-42.57226013299993,-14.25,-42.5,latm14p25_lonm42p50
EOLCVBA032346-2-01,-11.226672975999977,-42.69379054099994,-11.25,-42.75,latm11p25_lonm42p75
EOLCVRN033647-5-01,-5.161661134999974,-36.01123876199995,-5.25,-36.0,latm5p25_lonm36p00
EOLCVPI033017-5-01,-8.771894765999946,-41.410875601999976,-8.75,-41.5,latm8p75_lonm41p50
EOLCVRN036976-4-01,-5.103275732999975,-37.036854182999946,-5.0,-37.0,latm5p00_lonm37p00
EOLCVPE044554-1-01,-9.028848727999955,-38.08733271799997,-9.0,-38.0,latm9p00_lonm38p00
EOLCVRN037077-0-01,-5.121168614999931,-36.02408126499995,-5.0,-36.0,latm5p00_lonm36p00
EOLCVRN032495-7-01,-5.253764733999958,-36.07801427799996,-5.25,-36.0,latm5p25_lonm36p00
EOLCVRN038141-1-01,-5.14359942699997,-37.02203246399995,-5.25,-37.0,latm5p25_lonm37p00
EOLCVBA037093-2-01,-14.408796416999962,-42.64864636599998,-14.5,-42.75,latm14p50_lonm42p75
EOLCVRN040594-9-01,-5.186941660999935,-37.11320903699993,-5.25,-37.0,latm5p25_lonm37p00
EOLCVRN040598-1-01,-5.234672516999979,-37.13422596599997,-5.25,-37.25,latm5p25_lonm37p25
EOLCVRN036977-2-01,-5.171753835999937,-37.09281853099998,-5.25,-37.0,latm5p25_lonm37p00
EOLCVRN038320-1-01,-5.783067444999972,-35.90518492099994,-5.75,-36.0,latm5p75_lonm36p00
EOLCVRN038323-6-01,-5.770943211999963,-35.920927364999955,-5.75,-36.0,latm5p75_lonm36p00
EOLCVRN038325-2-01,-5.076007960999959,-36.99304440999998,-5.0,-37.0,latm5p00_lonm37p00
EOLCVRN037663-9-01,-5.873179894999964,-36.26634909099994,-5.75,-36.25,latm5p75_lonm36p25
EOLCVRN035211-0-01,-5.859159071999954,-36.18675161899995,-5.75,-36.25,latm5p75_lonm36p25
EOLCVBA034661-6-01,-11.586930559999928,-41.338953351999976,-11.5,-41.25,latm11p50_lonm41p25
EOLCVRN035210-1-01,-5.9137321559999805,-36.156220606999966,-6.0,-36.25,latm6p00_lonm36p25
EOLCVBA034512-1-01,-11.516939080999975,-41.28006686899994,-11.5,-41.25,latm11p50_lonm41p25
EOLCVCE030927-3-01,-4.4112302029999455,-37.842098600999975,-4.5,-37.75,latm4p50_lonm37p75
EOLCVRN032215-6-01,-5.2077691279999385,-35.796487722999984,-5.25,-35.75,latm5p25_lonm35p75
EOLCVBA031120-0-01,-13.82908690399995,-42.65002106699996,-13.75,-42.75,latm13p75_lonm42p75
EOLCVRN031750-0-01,-4.997976618999928,-36.96453415899998,-5.0,-37.0,latm5p00_lonm37p00
EOLCVBA031606-7-01,-14.479074235999974,-42.67447415299995,-14.5,-42.75,latm14p50_lonm42p75
EOLCVRN033640-8-01,-5.1320415009999465,-35.94072638599994,-5.25,-36.0,latm5p25_lonm36p00
EOLCVRN033642-4-01,-5.146430307999935,-35.92778931899994,-5.25,-36.0,latm5p25_lonm36p00
EOLCVRN033645-9-01,-5.154180317999931,-35.99796675199997,-5.25,-36.0,latm5p25_lonm36p00
EOLCVRN033753-6-01,-5.075401830999965,-37.042988881999975,-5.0,-37.0,latm5p00_lonm37p00
EOLCVBA034509-1-01,-11.503770559999964,-41.31234259699994,-11.5,-41.25,latm11p50_lonm41p25
EOLCVBA033508-8-01,-10.34348036199998,-40.43579394899996,-10.25,-40.5,latm10p25_lonm40p50
EOLCVBA032641-0-01,-10.397718786999974,-40.462399097999935,-10.5,-40.5,latm10p50_lonm40p50
EOLCVBA033532-0-01,-10.344755543999952,-40.43775389599995,-10.25,-40.5,latm10p25_lonm40p50
EOLCVBA033533-9-01,-10.368593073999932,-40.445013062999976,-10.25,-40.5,latm10p25_lonm40p50
EOLCVBA032536-8-01,-12.110180096999954,-41.506776387999935,-12.0,-41.5,latm12p00_lonm41p50
EOLCVBA037102-5-01,-10.466616415999964,-40.52052918499993,-10.5,-40.5,latm10p50_lonm40p50
EOLCVBA040609-0-01,-11.13929313999995,-41.33082134899996,-11.25,-41.25,latm11p25_lonm41p25
EOLCVBA040611-2-01,-11.155847759999972,-41.33560229399996,-11.25,-41.25,latm11p25_lonm41p25
EOLCVBA040612-0-01,-11.163531391999982,-41.34572155199993,-11.25,-41.25,latm11p25_lonm41p25
EOLCVRN036979-9-01,-5.105904271999975,-37.06281553099996,-5.0,-37.0,latm5p00_lonm37p00
EOLCVRN038143-8-01,-5.180570018999958,-37.06116193899993,-5.25,-37.0,latm5p25_lonm37p00
EOLCVRN038144-6-01,-5.178997462999973,-37.07916720299994,-5.25,-37.0,latm5p25_lonm37p00
EOLCVCE040884-0-01,-3.330695220999928,-39.32481207199993,-3.25,-39.25,latm3p25_lonm39p25
EOLCVBA035222-5-01,-9.801203592999968,-41.01688591299995,-9.75,-41.0,latm9p75_lonm41p00
EOLCVBA035233-0-01,-9.824784455999977,-41.03246810599995,-9.75,-41.0,latm9p75_lonm41p00
EOLCVBA035229-2-01,-9.799324703999956,-41.02425652899996,-9.75,-41.0,latm9p75_lonm41p00
EOLCVPB035242-0-01,-7.056373422999968,-36.97394893099994,-7.0,-37.0,latm7p00_lonm37p00
EOLCVPI033005-1-01,-8.523042558999975,-41.55813953299997,-8.5,-41.5,latm8p50_lonm41p50
EOLCVPI033006-0-01,-8.551940792999972,-41.57326598299994,-8.5,-41.5,latm8p50_lonm41p50
EOLCVPI033007-8-01,-8.588412830999971,-41.58397056399997,-8.5,-41.5,latm8p50_lonm41p50
EOLCVPI033008-6-01,-8.60017785599996,-41.59075084899996,-8.5,-41.5,latm8p50_lonm41p50
EOLCVPI033009-4-01,-8.47673139899996,-41.44656647499994,-8.5,-41.5,latm8p50_lonm41p50
EOLCVPI033010-8-01,-8.49330979299998,-41.45457816499993,-8.5,-41.5,latm8p50_lonm41p50
EOLCVPI033011-6-01,-8.532524465999927,-41.48269926999996,-8.5,-41.5,latm8p50_lonm41p50
EOLCVPI033012-4-01,-8.565802721999944,-41.50036495599994,-8.5,-41.5,latm8p50_lonm41p50
EOLCVPI033013-2-01,-8.595226441999955,-41.47952853299995,-8.5,-41.5,latm8p50_lonm41p50
EOLCVPI033014-0-01,-8.638431725999965,-41.49918891599998,-8.75,-41.5,latm8p75_lonm41p50
EOLCVPI033015-9-01,-8.688144966999971,-41.51417575499994,-8.75,-41.5,latm8p75_lonm41p50
EOLCVPI033018-3-01,-8.734597444999963,-41.48908062899994,-8.75,-41.5,latm8p75_lonm41p50
EOLCVRN037076-2-01,-5.170594347999952,-36.05223821599998,-5.25,-36.0,latm5p25_lonm36p00
EOLCVBA032108-7-01,-14.02011493799995,-42.661636692999934,-14.0,-42.75,latm14p00_lonm42p75
