fase,config_key,L,H,W,modelo,horizonte,RMSE,MAE,MAPE,cutoff_date
Fase2,L12_H12_W48,12,12,48,Ensemble,8.0,3389.4410459544997,3389.4410459544997,43.09110618723077,2019-01-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Ensemble,9.0,1756.7126129749395,1756.7126129749395,27.60398317484941,2019-01-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Ensemble,10.0,1800.2761191925583,1800.2761191925583,29.858045352709134,2019-01-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Ensemble,11.0,2118.4675048607232,2118.4675048607232,33.73531896667418,2019-01-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Ensemble,12.0,2814.520231317053,2814.520231317053,44.3789478932209,2019-01-01 00:00:00
Fase2,L12_H12_W48,12,12,48,CNN,1.0,272.5572844451208,272.5572844451208,11.963288617990443,2019-02-01 00:00:00
Fase2,L12_H12_W48,12,12,48,CNN,2.0,150.8145370257639,150.8145370257639,4.557183975963565,2019-02-01 00:00:00
Fase2,L12_H12_W48,12,12,48,CNN,3.0,981.0354725480174,981.0354725480174,23.26702987732148,2019-02-01 00:00:00
Fase2,L12_H12_W48,12,12,48,CNN,4.0,1777.2510605001107,1777.2510605001107,30.254579131403126,2019-02-01 00:00:00
Fase2,L12_H12_W48,12,12,48,CNN,5.0,2918.034366218413,2918.034366218413,43.00085257021526,2019-02-01 00:00:00
Fase2,L12_H12_W48,12,12,48,CNN,6.0,4273.075796871397,4273.075796871397,52.24797314960041,2019-02-01 00:00:00
Fase2,L12_H12_W48,12,12,48,CNN,7.0,3282.065537756791,3282.065537756791,41.72600516823596,2019-02-01 00:00:00
Fase2,L12_H12_W48,12,12,48,CNN,8.0,1952.2943466132383,1952.2943466132383,30.67724333407188,2019-02-01 00:00:00
Fase2,L12_H12_W48,12,12,48,CNN,9.0,2245.9108872170136,2245.9108872170136,37.249013311771975,2019-02-01 00:00:00
Fase2,L12_H12_W48,12,12,48,CNN,10.0,1971.5605559022442,1971.5605559022442,31.395914293171273,2019-02-01 00:00:00
Fase2,L12_H12_W48,12,12,48,CNN,11.0,3051.321262765726,3051.321262765726,48.11279230435307,2019-02-01 00:00:00
Fase2,L12_H12_W48,12,12,48,CNN,12.0,1383.228260971563,1383.228260971563,31.24623689712804,2019-02-01 00:00:00
Fase2,L12_H12_W48,12,12,48,LSTM,1.0,827.1925383513708,827.1925383513708,36.307754896707294,2019-02-01 00:00:00
Fase2,L12_H12_W48,12,12,48,LSTM,2.0,196.8033828961111,196.8033828961111,5.946835369035849,2019-02-01 00:00:00
Fase2,L12_H12_W48,12,12,48,LSTM,3.0,1097.2005116105174,1097.2005116105174,26.022093797229957,2019-02-01 00:00:00
Fase2,L12_H12_W48,12,12,48,LSTM,4.0,2749.7708358907357,2749.7708358907357,46.81002093439213,2019-02-01 00:00:00
Fase2,L12_H12_W48,12,12,48,LSTM,5.0,3657.164249030913,3657.164249030913,53.892847362672015,2019-02-01 00:00:00
Fase2,L12_H12_W48,12,12,48,LSTM,6.0,5046.247427730772,5046.247427730772,61.701737259928265,2019-02-01 00:00:00
Fase2,L12_H12_W48,12,12,48,LSTM,7.0,4730.933945959916,4730.933945959916,60.14595747976025,2019-02-01 00:00:00
Fase2,L12_H12_W48,12,12,48,LSTM,8.0,3227.1827743476133,3227.1827743476133,50.71011521594067,2019-02-01 00:00:00
Fase2,L12_H12_W48,12,12,48,LSTM,9.0,2891.1994614357636,2891.1994614357636,47.95129131746475,2019-02-01 00:00:00
Fase2,L12_H12_W48,12,12,48,LSTM,10.0,3140.3972258241192,3140.3972258241192,50.00893421879533,2019-02-01 00:00:00
Fase2,L12_H12_W48,12,12,48,LSTM,11.0,3202.058079171976,3202.058079171976,50.48958862169651,2019-02-01 00:00:00
Fase2,L12_H12_W48,12,12,48,LSTM,12.0,1286.487294174688,1286.487294174688,29.060920668793333,2019-02-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Informer,1.0,1195.6908293669958,1195.6908293669958,52.482158085493815,2019-02-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Informer,2.0,144.5918807757639,144.5918807757639,4.369153101024864,2019-02-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Informer,3.0,444.0237537980174,444.0237537980174,10.530826086263914,2019-02-01 00:00:00
