CEG_norm,nome_parque,longitude_parque,latitude_parque,uf,qtd_aerogeradores,potencia_turbina_mw,capacidade_mw,lat_era5,lon_era5,cell_key
EOLCVRN038064-4-01,Sinfonia 06,-36.302633414999946,-5.35573384099996,RN,3,19.799999999999997,19.799999999999997,-5.25,-36.25,latm5p25_lonm36p25
EOLCVRN038065-2-01,Sinfonia 07,-36.31006534299996,-5.363348311999971,RN,3,19.799999999999997,19.799999999999997,-5.25,-36.25,latm5p25_lonm36p25
EOLCVRN038066-0-01,Sinfonia 08,-36.31376915399994,-5.3720036749999736,RN,3,19.799999999999997,19.799999999999997,-5.25,-36.25,latm5p25_lonm36p25
EOLCVRN038140-3-01,Vila Rio Grande do Norte II,-37.022065931999975,-5.132750035999948,RN,9,0.0,37.8,-5.25,-37.0,latm5p25_lonm37p00
EOLCVRN038141-1-01,Vila Rio Grande do Norte I,-37.02203246399995,-5.14359942699997,RN,6,0.0,25.2,-5.25,-37.0,latm5p25_lonm37p00
EOLCVRN038142-0-01,Vila Sergipe I,-37.06235332699998,-5.13960041699994,RN,9,0.0,37.8,-5.25,-37.0,latm5p25_lonm37p00
EOLCVRN038143-8-01,Vila Sergipe II,-37.06210761699998,-5.160220607999975,RN,9,37.800000000000004,37.8,-5.25,-37.0,latm5p25_lonm37p00
EOLCVRN038144-6-01,Vila Sergipe III,-37.07919339999995,-5.176294122999934,RN,4,16.8,16.8,-5.25,-37.0,latm5p25_lonm37p00
EOLCVRN038310-4-01,Ventos de Santa Martina 01,-35.964875907999954,-5.778033580999932,RN,15,63.0,63.0,-5.75,-36.0,latm5p75_lonm36p00
EOLCVRN038318-0-01,Ventos de Santa Martina 09,-35.92287265299996,-5.819395778999933,RN,15,63.0,63.0,-5.75,-36.0,latm5p75_lonm36p00
EOLCVRN038319-8-01,Ventos de Santa Martina 10,-35.94190731699996,-5.850457173999928,RN,15,63.0,63.0,-5.75,-36.0,latm5p75_lonm36p00
EOLCVRN038320-1-01,Ventos de Santa Martina 11,-35.90518492099994,-5.783067444999972,RN,15,63.0,63.0,-5.75,-36.0,latm5p75_lonm36p00
EOLCVRN038321-0-01,Ventos de Santa Martina 12,-35.886164916999974,-5.759176409999952,RN,15,63.0,63.0,-5.75,-36.0,latm5p75_lonm36p00
EOLCVRN038322-8-01,Ventos de Santa Martina 13,-35.904006590999984,-5.726903256999947,RN,16,67.2,67.2,-5.75,-36.0,latm5p75_lonm36p00
EOLCVRN038323-6-01,Ventos de Santa Martina 14,-35.920927364999955,-5.770943211999963,RN,15,63.0,63.0,-5.75,-36.0,latm5p75_lonm36p00
EOLCVRN038325-2-01,Vila Maranhão I,-36.99304440999998,-5.076007960999959,RN,9,31.95,31.950000000000003,-5.0,-37.0,latm5p00_lonm37p00
EOLCVRN038326-0-01,Vila Maranhão II,-36.99447067399996,-5.049133160999929,RN,9,31.95,31.950000000000003,-5.0,-37.0,latm5p00_lonm37p00
EOLCVRN038327-9-01,Vila Maranhão III,-37.005196155999954,-5.129325200999972,RN,9,31.95,31.950000000000003,-5.25,-37.0,latm5p25_lonm37p00
EOLCVRN040569-8-01,Camboas I,-36.14618699999994,-5.729522999999972,RN,0,0.0,0.0,-5.75,-36.25,latm5p75_lonm36p25
EOLCVRN040570-1-01,Camboas II,-36.19469699999996,-5.678213999999969,RN,0,0.0,0.0,-5.75,-36.25,latm5p75_lonm36p25
EOLCVRN040571-0-01,Camboas III,-36.164158999999984,-5.717946999999981,RN,0,0.0,0.0,-5.75,-36.25,latm5p75_lonm36p25
EOLCVRN040584-1-01,Monte Verde V,-36.25531275999998,-5.492383636999932,RN,8,33.6,33.6,-5.5,-36.25,latm5p50_lonm36p25
EOLCVRN040585-0-01,Monte Verde VI,-36.27665200499996,-5.522824417999971,RN,11,46.2,46.2,-5.5,-36.25,latm5p50_lonm36p25
EOLCVRN040594-9-01,Vila Espírito Santo I,-37.11320903699993,-5.186941660999935,RN,8,33.6,33.6,-5.25,-37.0,latm5p25_lonm37p00
EOLCVRN040595-7-01,Vila Espírito Santo II,-37.13565430999995,-5.187686418999931,RN,9,37.800000000000004,37.8,-5.25,-37.25,latm5p25_lonm37p25
EOLCVRN040596-5-01,Vila Espírito Santo III,-37.15358550599996,-5.199439315999939,RN,9,37.800000000000004,37.8,-5.25,-37.25,latm5p25_lonm37p25
EOLCVRN040597-3-01,Vila Espírito Santo IV,-37.154682916999946,-5.225148703999935,RN,9,37.800000000000004,37.8,-5.25,-37.25,latm5p25_lonm37p25
EOLCVRN040598-1-01,Vila Espírito Santo V,-37.13422596599997,-5.234672516999979,RN,9,37.800000000000004,37.8,-5.25,-37.25,latm5p25_lonm37p25
EOLCVRN040600-7-01,Potiguar B 31,-37.113856329999976,-5.271971801999939,RN,13,45.045,45.045,-5.25,-37.0,latm5p25_lonm37p00
EOLCVRN040601-5-01,Potiguar B 32,-37.129872116999934,-5.288186869999947,RN,14,48.51,48.51,-5.25,-37.25,latm5p25_lonm37p25
EOLCVRN040602-3-01,Potiguar B 33,-37.15408889799994,-5.292066086999967,RN,17,58.905,58.905,-5.25,-37.25,latm5p25_lonm37p25
EOLCVRN040637-6-01,Vila Alagoas IV,-37.107465445999935,-5.153117610999971,RN,5,21.0,21.0,-5.25,-37.0,latm5p25_lonm37p00
EOLCVRN040638-4-01,Vila Alagoas V,-37.13560788799998,-5.169674953999959,RN,10,42.0,42.0,-5.25,-37.25,latm5p25_lonm37p25
EOLCVRN040816-6-01,Boqueirão I,-36.128693290999934,-5.703061583999954,RN,10,42.0,42.0,-5.75,-36.25,latm5p75_lonm36p25
EOLCVRN040818-2-01,Boqueirão II,-36.06492330499998,-5.703182371999958,RN,9,37.800000000000004,37.8,-5.75,-36.0,latm5p75_lonm36p00
EOLCVRN043218-0-01,Catanduba RN I,-36.18913339399995,-5.330986177999932,RN,11,49.5,49.5,-5.25,-36.25,latm5p25_lonm36p25
EOLCVRN043219-9-01,Catanduba RN II,-36.20381545699996,-5.367134082999939,RN,0,49.5,49.5,-5.25,-36.25,latm5p25_lonm36p25
EOLCVRN044337-9-01,EVI 1,-35.507492971999966,-5.266441820999944,RN,7,31.5,31.5,-5.25,-35.5,latm5p25_lonm35p50
EOLCVRN044338-7-01,EVI 2,-35.52617982099997,-5.274554531999968,RN,7,31.5,31.5,-5.25,-35.5,latm5p25_lonm35p50
EOLCVRN044343-3-01,EVII 1,-35.61013461699997,-5.33252491099995,RN,7,31.5,31.5,-5.25,-35.5,latm5p25_lonm35p50
EOLCVRN044344-1-01,EVII 2,-35.61953826399997,-5.315422711999929,RN,6,27.0,27.0,-5.25,-35.5,latm5p25_lonm35p50
EOLCVRN044956-3-01,Asas de Zabelê V,-35.68717505999996,-5.3197674809999285,RN,6,37.2,37.2,-5.25,-35.75,latm5p25_lonm35p75
EOLCVRN044957-1-01,Asas de Zabelê VI,-35.72211018799993,-5.326002869999968,RN,7,43.4,43.4,-5.25,-35.75,latm5p25_lonm35p75
EOLCVRN044974-1-01,Oeste Seridó I,-36.66579855699996,-6.76055370499995,RN,6,25.200000000000003,22.5,-6.75,-36.75,latm6p75_lonm36p75
EOLCVRN044975-0-01,Oeste Seridó II,-36.644490161999954,-6.7111817229999815,RN,5,22.5,22.5,-6.75,-36.75,latm6p75_lonm36p75
EOLCVRN044976-8-01,Oeste Seridó III,-36.63753840499993,-6.71667081399994,RN,6,27.0,27.0,-6.75,-36.75,latm6p75_lonm36p75
EOLCVRN044982-2-01,Potiguar C11,-35.72849468099997,-5.144064105999973,RN,5,30.0,30.0,-5.25,-35.75,latm5p25_lonm35p75
EOLCVRN045010-3-01,Ventos de Santa Leia 12,-36.09588017399994,-5.761696241999971,RN,15,64.89999999999999,64.9,-5.75,-36.0,latm5p75_lonm36p00
EOLCVRN045011-1-01,Ventos de Santa Leia 13,-36.11648001899994,-5.792673871999966,RN,15,66.1,66.1,-5.75,-36.0,latm5p75_lonm36p00
EOLCVRN045012-0-01,Ventos de Santa Leia 14,-36.149568562999946,-5.809231500999943,RN,15,66.1,66.1,-5.75,-36.25,latm5p75_lonm36p25
EOLCVRN046698-0-01,Camboas IV,-36.131595999999945,-5.770089999999925,RN,0,0.0,0.0,-5.75,-36.25,latm5p75_lonm36p25
EOLCVRN046699-9-01,Camboas V,-36.21018799999996,-5.666252999999927,RN,0,0.0,0.0,-5.75,-36.25,latm5p75_lonm36p25
EOLCVRN046700-6-01,Camboas VI,-36.20323199999996,-5.7039799999999445,RN,0,0.0,0.0,-5.75,-36.25,latm5p75_lonm36p25
EOLCVRN046742-1-01,Toda Energia do Brasil,-37.10554365199994,-5.092207060999954,RN,8,27.72,27.72,-5.0,-37.0,latm5p00_lonm37p00
EOLCVRN047140-2-01,Asas de Zabelê I,-35.68867339999997,-5.361519416999954,RN,6,37.2,37.2,-5.25,-35.75,latm5p25_lonm35p75
EOLCVRN047141-0-01,Asas de Zabelê II,-35.750253010999984,-5.371772674999932,RN,8,49.6,49.6,-5.25,-35.75,latm5p25_lonm35p75
EOLCVRN047142-9-01,Asas de Zabelê III,-35.71255521699993,-5.350913509999941,RN,6,37.2,37.2,-5.25,-35.75,latm5p25_lonm35p75
EOLCVRN047143-7-01,Asas de Zabelê IV,-35.69851959699997,-5.334917463999943,RN,6,37.2,37.2,-5.25,-35.75,latm5p25_lonm35p75
EOLCVRN047144-5-01,Asas de Zabelê VII,-35.77120213499995,-5.367006248999928,RN,6,37.2,37.2,-5.25,-35.75,latm5p25_lonm35p75
EOLCVRN047160-7-01,Oeste Seridó XII,-36.65958293199998,-6.806286593999971,RN,7,31.5,31.5,-6.75,-36.75,latm6p75_lonm36p75
EOLCVRN047161-5-01,Oeste Seridó XI,-36.65763537099997,-6.739535751999938,RN,6,27.0,27.0,-6.75,-36.75,latm6p75_lonm36p75
